symbol,bucket,membership_count,membership_share_pct,avg_5b_return_pct,avg_10b_return_pct,avg_20b_return_pct
LLY,bottom,690,8.812260536398467,-0.029998109208403474,-0.04012581335924342,-0.06264944931585255
TSLA,bottom,661,8.441890166028097,-0.11741637425462834,-0.11104243739876912,-0.12784554576276028
QCOM,bottom,632,8.071519795657727,0.0505579494917381,0.0865101747963951,0.07520672363506535
HD,bottom,605,7.726692209450831,0.045236025313780064,0.08359492795011832,0.11153669520985939
AMD,bottom,598,7.637292464878671,0.06791229919090523,0.008138682155405273,-0.14879720759017098
ABBV,bottom,562,7.177522349936143,-0.03311889211534715,-0.0907360522769487,-0.11448014424889985
MSFT,bottom,550,7.0242656449553005,-0.14172815750933143,-0.18669090168403682,-0.3625755704684749
GOOGL,bottom,501,6.398467432950191,-0.03680508162685956,-0.1267655505118939,-0.3398317912827812
C,bottom,482,6.15581098339719,-0.015336782451734258,-0.08643342060213885,-0.148099851618444
COP,bottom,480,6.130268199233716,0.015126863665188495,0.17753256460295894,0.41966960900420963
XOM,bottom,469,5.98978288633461,-0.07618465397669481,-0.08045732746012613,0.07003225097724886
WFC,bottom,460,5.874840357598978,0.011820237406464151,0.032873644276953176,0.057603608217198635
HON,bottom,407,5.197956577266922,0.11010960314316506,0.2382252695022854,0.3496815655870476
BAC,bottom,371,4.738186462324393,0.03153445330138823,0.018736113859836676,0.028349553320517723
JPM,bottom,362,4.6232439335887605,-0.07804282173241228,-0.1930333332907773,-0.2706354479595888
JPM,middle,824,10.523627075351213,0.017678548384234702,0.055901946458947416,0.11380566831195042
BAC,middle,742,9.476372924648786,0.012057187749009142,0.03143652330333586,0.0005564673357455842
HON,middle,631,8.05874840357599,0.0521640145781619,0.05129649576339278,0.1293077486392607
WFC,middle,601,7.675606641123882,0.012591373686761472,0.053224218451220585,-0.07718044469030498
GOOGL,middle,588,7.509578544061303,-0.07259028698671022,-0.08272493955472472,-0.17239044285228874
QCOM,middle,558,7.126436781609195,-0.15485070831241102,-0.27311218773070395,-0.4140023484350111
HD,middle,551,7.037037037037037,-0.02762059316230687,-0.04242754657907925,-0.19393206981099373
MSFT,middle,538,6.871008939974457,-0.006754662504714723,-0.031735419724918994,-0.2527641091860696
ABBV,middle,522,6.666666666666667,-0.014060591201911735,-0.05366166734474595,-0.30107150301411373
C,middle,458,5.849297573435504,0.18474044158508718,0.3299508674354569,0.5031718735578358
XOM,middle,404,5.159642401021712,0.11782812400209097,0.18153374416526022,0.3452071881142043
LLY,middle,390,4.980842911877394,-0.1086970781498834,-0.19789770481963181,-0.29428376952583796
TSLA,middle,389,4.968071519795657,0.006443196392739097,-0.18650495129740616,-0.5358431456092667
COP,middle,322,4.112388250319285,0.18200901433276107,0.2869553335904491,0.5845278166790744
AMD,middle,312,3.984674329501916,0.08558116526604047,0.35263877885080425,0.9381263598986129
COP,top,764,9.757343550446999,0.05154532140617882,0.053963871723148864,0.07619215288735239
XOM,top,693,8.85057471264368,0.09936905710869541,0.18771123328085534,0.25278714531140667
AMD,top,656,8.378033205619413,0.015557548430122073,0.021274339619664944,0.02257544135282969
C,top,626,7.9948914431673055,-0.01326898752671526,0.013844219244708899,0.06845518833574073
HON,top,528,6.743295019157087,-0.053524770345223384,-0.05912903449581629,-0.06148563190261074
TSLA,top,516,6.590038314176246,-0.04648747672259755,-0.11310544683807244,-0.25094075926872433
WFC,top,505,6.449553001277139,-0.04594006271562411,-0.1391194727591963,-0.07051503693311509
LLY,top,486,6.206896551724138,0.0018425261460839192,-0.008350486341109548,-0.06398393910514621
ABBV,top,482,6.15581098339719,-0.010554032959122711,0.03509611071839024,0.21554514021014512
MSFT,top,478,6.104725415070242,-0.0018192713115379926,-0.09974415139351699,-0.01222507848992652
GOOGL,top,477,6.091954022988506,0.0914925249423464,0.1597446559973266,0.43581760419557686
BAC,top,453,5.78544061302682,-0.018019522941714865,-0.023186655435010865,0.03421372560351716
HD,top,410,5.236270753512133,-0.1379066989771606,-0.2973420203985284,-0.40140142855723
JPM,top,380,4.853128991060025,0.06594765161844747,0.10503379772251863,0.07036264427863885
QCOM,top,376,4.802043422733078,-0.1350833211887054,-0.3192175338326061,-0.7181277555996385
