bucket,horizon_bars,observation_count,mean_return_pct,median_return_pct,std_return_pct,hit_rate_pct
bottom,5,16205,0.04839242063400259,0.04471589050059066,1.082640533501702,53.619253316877504
middle,5,16205,0.023670756457077023,0.025389732392211428,0.9725907199301208,52.20610922554767
top,5,16205,0.031112310524386594,0.015714412266865097,1.0974971358443473,51.0891700092564
bottom,10,16180,0.10015054246034392,0.09722453196210346,1.543641588147808,55.278121137206426
middle,10,16180,0.05040672334701998,0.04323839848454636,1.3966751982728047,52.731767614338686
top,10,16180,0.05311012156915136,0.02834901156820724,1.5174066879829191,51.56365883807169
bottom,20,16130,0.17426537946254836,0.16565533930567033,2.1968014522728057,55.25728456292622
middle,20,16130,0.1273962341681503,0.12906974080684197,1.9496520001034943,54.99690018598884
top,20,16130,0.09231753118458046,0.06594996313146195,2.0296389666597743,52.120272783632984
top_minus_bottom,5,3241,-0.017280110109616005,-0.03152936780207227,0.6128587178856547,46.62141314409133
top_minus_bottom,10,3236,-0.04704042089119258,-0.041974048353318194,0.868934836562557,46.75525339925834
top_minus_bottom,20,3226,-0.08194784827796793,-0.05463440480216519,1.2149772413451079,47.45815251084935
