symbol,realized_pnl,expectancy,win_rate,trades,avg_return_per_trade_pct
ABBV,47.02525376787173,1.516943669931346,61.29032258064516,62,0.15169436699313463
AMD,34.422588830962354,0.9058576008147988,57.89473684210527,76,0.09058576008147988
JPM,15.378060768636715,0.6151224307454686,60.0,50,0.061512243074546856
MSFT,-3.3990123747460075,-0.1213932990980717,67.85714285714286,56,-0.01213932990980717
C,-5.748659019454976,-0.19822962136051642,58.620689655172406,58,-0.01982296213605164
HON,-9.248357149392632,-0.33029846962116544,46.42857142857143,56,-0.03302984696211654
HD,-10.05087660879019,-0.38657217726116117,50.0,52,-0.03865721772611612
QCOM,-19.39430309103375,-0.646476769701125,46.666666666666664,60,-0.0646476769701125
TSLA,-25.674592285486483,-0.8023310089214526,56.25,64,-0.08023310089214526
GOOGL,-34.23663101971397,-1.1805734834384127,58.620689655172406,58,-0.11805734834384127
COP,-35.07963565460511,-1.8462966134002692,42.10526315789473,38,-0.1846296613400269
WFC,-45.157860484000025,-2.2578930242000013,40.0,40,-0.22578930242000014
BAC,-51.761119659222004,-1.7848661951455864,37.93103448275862,58,-0.17848661951455863
XOM,-56.40286669512727,-3.7601911130084846,60.0,30,-0.3760191113008485
LLY,-76.74687756280866,-2.25726110478849,50.0,68,-0.225726110478849
