symbol,backtest_closed_trades,backtest_realized_pnl,backtest_win_rate,backtest_avg_holding_bars,live_buy_signals,live_closed_trades,live_realized_pnl,live_win_rate,closed_trade_gap,realized_pnl_gap
AMD,4,29.640623163950295,0.75,14.75,1.0,0.0,0.0,0.0,4.0,29.640623163950295
BAC,6,-33.142844493296934,0.16666666666666666,14.5,3.0,1.0,0.0,0.0,5.0,-33.142844493296934
C,6,-26.33865681987743,0.3333333333333333,14.333333333333334,3.0,1.0,0.0,0.0,5.0,-26.33865681987743
COP,6,35.08465818090656,0.6666666666666666,16.0,1.0,3.0,-67.2,0.0,3.0,102.28465818090656
GOOGL,5,-1.104252402602583,0.4,17.2,0.0,0.0,0.0,0.0,5.0,-1.104252402602583
HD,6,5.0138084616643255,0.5,18.666666666666668,2.0,1.0,0.0,0.0,5.0,5.0138084616643255
JPM,5,-16.803732040633577,0.2,15.4,4.0,1.0,0.0,0.0,4.0,-16.803732040633577
MSFT,3,-1.1981818821308252,0.6666666666666666,14.333333333333334,1.0,0.0,0.0,0.0,3.0,-1.1981818821308252
QCOM,5,-9.70383823389966,0.4,13.4,0.0,0.0,0.0,0.0,5.0,-9.70383823389966
TSLA,5,-18.768697646512237,0.4,17.4,0.0,0.0,0.0,0.0,5.0,-18.768697646512237
WFC,5,-25.32649754102681,0.0,14.2,1.0,0.0,0.0,0.0,5.0,-25.32649754102681
