exit_style,symbol,closed_trades,realized_pnl,win_rate,avg_holding_bars
sma,AMD,6,37.62327320472673,0.8333333333333334,7.333333333333333
sma,BAC,6,-5.872427662185601,0.5,13.166666666666666
sma,C,7,2.4634444623424088,0.5714285714285714,8.714285714285714
sma,COP,6,12.000323843803471,0.6666666666666666,8.0
sma,GOOGL,7,3.1753255076575897,0.5714285714285714,9.428571428571429
sma,HD,8,21.26116455616284,0.75,9.25
sma,JPM,6,-2.374836855404169,0.5,9.666666666666666
sma,MSFT,6,18.16443989267293,0.8333333333333334,7.666666666666667
sma,QCOM,6,7.832124988056876,0.8333333333333334,10.666666666666666
sma,TSLA,6,-12.304761081074503,0.6666666666666666,10.833333333333334
sma,WFC,7,-6.508707910987937,0.7142857142857143,10.857142857142858
eod,AMD,4,29.640623163950295,0.75,14.75
eod,BAC,6,-33.142844493296934,0.16666666666666666,14.5
eod,C,6,-26.33865681987743,0.3333333333333333,14.333333333333334
eod,COP,6,35.08465818090656,0.6666666666666666,16.0
eod,GOOGL,5,-1.104252402602583,0.4,17.2
eod,HD,6,5.0138084616643255,0.5,18.666666666666668
eod,JPM,5,-16.803732040633577,0.2,15.4
eod,MSFT,3,-1.1981818821308252,0.6666666666666666,14.333333333333334
eod,QCOM,5,-9.70383823389966,0.4,13.4
eod,TSLA,5,-18.768697646512237,0.4,17.4
eod,WFC,5,-25.32649754102681,0.0,14.2
