timestamp_et,symbol,present,open,high,low,close,volume
2026-02-23 13:30,ABBV,False,,,,,
2026-02-23 13:30,AMD,False,,,,,
2026-02-23 13:30,BAC,False,,,,,
2026-02-23 13:30,C,False,,,,,
2026-02-23 13:30,COP,False,,,,,
2026-02-23 13:30,GOOGL,False,,,,,
2026-02-23 13:30,HD,False,,,,,
2026-02-23 13:30,HON,False,,,,,
2026-02-23 13:30,JPM,False,,,,,
2026-02-23 13:30,LLY,False,,,,,
2026-02-23 13:30,MSFT,False,,,,,
2026-02-23 13:30,QCOM,False,,,,,
2026-02-23 13:30,TSLA,False,,,,,
2026-02-23 13:30,WFC,False,,,,,
2026-02-23 13:30,XOM,False,,,,,
2026-02-27 12:00,ABBV,False,,,,,
2026-02-27 12:00,AMD,False,,,,,
2026-02-27 12:00,BAC,False,,,,,
2026-02-27 12:00,C,False,,,,,
2026-02-27 12:00,COP,False,,,,,
2026-02-27 12:00,GOOGL,False,,,,,
2026-02-27 12:00,HD,False,,,,,
2026-02-27 12:00,HON,False,,,,,
2026-02-27 12:00,JPM,False,,,,,
2026-02-27 12:00,LLY,False,,,,,
2026-02-27 12:00,MSFT,False,,,,,
2026-02-27 12:00,QCOM,False,,,,,
2026-02-27 12:00,TSLA,False,,,,,
2026-02-27 12:00,WFC,False,,,,,
2026-02-27 12:00,XOM,False,,,,,
2026-04-13 10:30,ABBV,False,,,,,
2026-04-13 10:30,AMD,False,,,,,
2026-04-13 10:30,BAC,False,,,,,
2026-04-13 10:30,C,False,,,,,
2026-04-13 10:30,COP,False,,,,,
2026-04-13 10:30,GOOGL,False,,,,,
2026-04-13 10:30,HD,False,,,,,
2026-04-13 10:30,HON,False,,,,,
2026-04-13 10:30,JPM,False,,,,,
2026-04-13 10:30,LLY,False,,,,,
2026-04-13 10:30,MSFT,False,,,,,
2026-04-13 10:30,QCOM,False,,,,,
2026-04-13 10:30,TSLA,False,,,,,
2026-04-13 10:30,WFC,False,,,,,
2026-04-13 10:30,XOM,False,,,,,
