strategy_mode,threshold_mode,entry_threshold_pct,atr_multiple,atr_percentile_threshold,sma_bars,regime_filter_enabled,coverage_symbols,coverage_time_windows,avg_net_pnl,avg_sharpe,avg_win_rate,avg_profit_factor,avg_trades_per_day,avg_return_per_trade_pct,avg_pnl_stability,worst_max_drawdown_pct,net_pnl_std,robustness_score
mean_reversion,static_pct,0.003,1.0,0.0,20,False,15,2,13.402559421199635,1.4114642756660645,69.33310079535569,inf,0.7455555555555555,0.11054176653141179,9.508084609274313,21.97342598190565,39.09715876389648,5.584698314381349
mean_reversion,static_pct,0.001,1.0,0.0,25,False,15,2,14.073662399133367,1.3813799483433857,71.48595253884211,inf,0.8253333333333333,0.15889899729251397,9.863851276000647,21.94401456397235,36.922302907832886,5.5692815057772975
mean_reversion,static_pct,0.002,1.0,0.0,20,False,15,2,13.854873424346618,1.3980634117365074,70.87688744768208,inf,0.8202222222222223,0.13533671793738344,9.726605935928397,22.004360760089646,39.16569309783061,4.473717699718506
mean_reversion,static_pct,0.001,1.0,0.0,20,False,15,2,13.903906596986092,1.3958793564476835,71.21449386731815,inf,0.9446666666666668,0.12276100542339465,9.837735416607389,22.004360760089646,40.73153471898658,2.738503722319649
mean_reversion,static_pct,0.0025,1.0,0.0,15,False,15,2,14.268702658585312,1.3624861469327707,67.27888892726354,inf,0.8373333333333334,0.10416643974330703,9.22959406437352,22.019466928789647,37.81017627324958,2.6098064346645486
mean_reversion,static_pct,0.0015,1.0,0.0,20,False,15,2,13.516247679201784,1.3731396345660267,70.74435358720704,inf,0.8731111111111111,0.13013543327251695,9.79451535964185,22.004360760089646,38.779349006208406,2.02905832914783
mean_reversion,static_pct,0.0025,1.0,0.0,20,False,15,2,13.265666604787047,1.373601787116158,69.99072797210053,inf,0.7795555555555556,0.11806320007321211,9.60313756802106,22.055521538638033,38.838959565628464,1.5092780575842326
mean_reversion,static_pct,0.003,1.0,0.0,15,False,15,2,14.051297504865648,1.35768536690845,66.76815267444782,inf,0.7917777777777779,0.09801892895784517,9.079187304553159,22.019466928789647,38.51464370872054,1.2078558430418695
mean_reversion,static_pct,0.0015,1.0,0.0,25,False,15,2,13.813024225680845,1.3274808370941353,70.89094571006335,inf,0.7971111111111112,0.1657889487424953,9.846865962097715,21.908462437678153,37.23556832134389,-0.2167725746403022
mean_reversion,static_pct,0.002,1.0,0.0,15,False,15,2,13.750576522621122,1.3479365717008305,67.85701967260275,inf,0.8819999999999999,0.10368906539105942,9.382691150485378,22.019466928789647,38.89615843087049,-0.44925938211458316
